dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,6.334880,3.837036,0.000204,0.006799,0.113315,1.888588,6.283180
0.060000,6.334879,3.837036,0.000205,0.000013,-0.113096,-3.773525,6.283183
0.060000,6.335911,3.837036,0.001237,0.017197,0.286402,6.658309,0.000003
0.060000,6.339171,3.837036,0.004497,0.054340,0.619043,5.544004,0.000013
0.060000,6.344266,3.837036,0.009591,0.084908,0.509466,-1.826270,0.000028
0.060000,6.351602,3.837036,0.016928,0.122271,0.622722,1.887600,0.000048
0.060000,6.361588,3.837037,0.026914,0.166432,0.736015,1.888203,0.000075
0.060000,6.374631,3.837038,0.039957,0.217393,0.849357,1.889043,0.000108
0.060000,6.391141,3.837040,0.056467,0.275159,0.962767,1.890159,0.000145
0.060000,6.411525,3.837044,0.076851,0.339735,1.076262,1.891591,0.000185
0.060000,6.435989,3.837049,0.101315,0.407729,1.133232,0.949501,0.000223
0.060000,6.464534,3.837056,0.129860,0.475749,1.133659,0.007106,0.000257
0.060000,6.497162,3.837064,0.162487,0.543798,1.134156,0.008290,0.000278
0.060000,6.533875,3.837075,0.199200,0.611881,1.134724,0.009474,0.000282
0.060000,6.574675,3.837086,0.240001,0.680003,1.135364,0.010658,0.000261
0.060000,6.619565,3.837097,0.284891,0.748168,1.136075,0.011843,0.000207
0.060000,6.668548,3.837105,0.333873,0.816379,1.136856,0.013027,0.000111
0.060000,6.721422,3.837107,0.386748,0.881239,1.080993,-0.931046,6.283149
0.060000,6.777782,3.837099,0.443108,0.939343,0.968404,-1.876491,6.282943
0.060000,6.837224,3.837077,0.502550,0.990687,0.855739,-1.877743,6.282670
0.060000,6.899340,3.837034,0.564666,1.035266,0.742981,-1.879311,6.282324
0.060000,6.963724,3.836966,0.629050,1.073073,0.630111,-1.881155,6.281900
0.060000,7.029970,3.836864,0.695296,1.104100,0.517117,-1.883236,6.281394
0.060000,7.097670,3.836723,0.762996,1.128339,0.403986,-1.885515,6.280805
0.060000,7.166417,3.836537,0.831743,1.145782,0.290709,-1.887952,6.280131
0.060000,7.235801,3.836299,0.901128,1.156418,0.177279,-1.890507,6.279375
0.060000,7.305272,3.836006,0.970599,1.157845,0.023784,-2.558249,6.278541
0.060000,7.374274,3.835655,1.039602,1.150050,-0.129928,-2.561860,6.277636
0.060000,7.442397,3.835244,1.107727,1.135415,-0.243920,-1.899874,6.276669
0.060000,7.509231,3.834775,1.174563,1.113930,-0.358068,-1.902456,6.275647
0.060000,7.574365,3.834250,1.239698,1.085589,-0.472364,-1.904932,6.274584
0.060000,7.637385,3.833674,1.302721,1.050381,-0.586799,-1.907262,6.273491
0.060000,7.697880,3.833054,1.363219,1.008299,-0.701364,-1.909405,6.272382
0.060000,7.755436,3.832400,1.420779,0.959336,-0.816043,-1.911322,6.271274
0.060000,7.809641,3.831725,1.474988,0.903487,-0.930821,-1.912974,6.270182
0.060000,7.860081,3.831043,1.525433,0.840746,-1.045681,-1.914321,6.269124
0.060000,7.906487,3.830367,1.571844,0.773512,-1.120572,-1.248187,6.268115
0.060000,7.948794,3.829709,1.614156,0.705208,-1.138396,-0.297073,6.267165
0.060000,7.987001,3.829080,1.652368,0.636860,-1.139128,-0.012192,6.266284
0.060000,8.021104,3.828490,1.686476,0.568473,-1.139788,-0.011006,6.265477
0.060000,8.051102,3.827948,1.716479,0.500051,-1.140377,-0.009819,6.264753
0.060000,8.076994,3.827463,1.742375,0.431597,-1.140895,-0.008635,6.264116
0.060000,8.098776,3.827041,1.764162,0.363116,-1.141342,-0.007450,6.263572
0.060000,8.116594,3.826688,1.781983,0.297017,-1.101648,0.661578,6.263122
0.060000,8.130795,3.826400,1.796187,0.236733,-1.004748,1.614989,6.262759
0.060000,8.141790,3.826174,1.807184,0.183290,-0.890712,1.900598,6.262476
0.060000,8.149990,3.826003,1.815386,0.136694,-0.776604,1.901805,6.262264
0.060000,8.155806,3.825881,1.821203,0.096947,-0.662441,1.902724,6.262113
0.060000,8.159648,3.825800,1.825046,0.064053,-0.548237,1.903392,6.262013
0.060000,8.161928,3.825752,1.827327,0.038013,-0.434006,1.903854,6.261953
0.060000,8.163057,3.825728,1.828456,0.018827,-0.319757,1.904146,6.261924
0.060000,8.163447,3.825719,1.828846,0.006497,-0.205499,1.904308,6.261914
0.060000,8.163509,3.825718,1.828908,0.001023,-0.091236,1.904378,6.261912
0.060000,8.163509,3.825718,1.828908,0.000000,-0.017052,1.236398,6.261912
