dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,6.334878,3.519536,0.000204,0.006799,0.113315,1.888588,6.283180
0.060000,6.334878,3.519536,0.001020,0.020397,0.226631,1.888588,6.283183
0.060000,6.335912,3.519536,0.002856,0.040794,0.339946,1.888588,0.000003
0.060000,6.339175,3.519536,0.006119,0.067989,0.453261,1.888588,0.000013
0.060000,6.344274,3.519536,0.011218,0.101984,0.566576,1.888588,0.000028
0.060000,6.351617,3.519536,0.018561,0.142777,0.679892,1.888588,0.000048
0.060000,6.361612,3.519537,0.028555,0.190370,0.793207,1.888588,0.000075
0.060000,6.374666,3.519538,0.041609,0.244761,0.906522,1.888588,0.000108
0.060000,6.391187,3.519540,0.058131,0.305951,1.019838,1.888588,0.000145
0.060000,6.411584,3.519544,0.078527,0.373940,1.133153,1.888588,0.000185
0.060000,6.436060,3.519549,0.103004,0.441930,1.133153,0.000000,0.000223
0.060000,6.464615,3.519556,0.131559,0.509919,1.133153,0.000000,0.000257
0.060000,6.497250,3.519564,0.164194,0.577908,1.133153,-0.000000,0.000278
0.060000,6.533964,3.519575,0.200908,0.645897,1.133153,0.000000,0.000282
0.060000,6.574758,3.519586,0.241702,0.713886,1.133153,0.000000,0.000261
0.060000,6.619631,3.519597,0.286574,0.781876,1.133153,-0.000000,0.000207
0.060000,6.668583,3.519605,0.335527,0.849865,1.133153,0.000000,0.000111
0.060000,6.721410,3.519607,0.388354,0.911055,1.019838,-1.888588,6.283149
0.060000,6.777705,3.519599,0.444649,0.965446,0.906522,-1.888588,6.282943
0.060000,6.837060,3.519577,0.504004,1.013039,0.793207,-1.888588,6.282670
0.060000,6.899066,3.519535,0.566010,1.053832,0.679892,-1.888588,6.282324
0.060000,6.963316,3.519466,0.630260,1.087827,0.566576,-1.888588,6.281900
0.060000,7.029401,3.519365,0.696345,1.115022,0.453261,-1.888588,6.281394
0.060000,7.096914,3.519224,0.763858,1.135419,0.339946,-1.888588,6.280805
0.060000,7.165447,3.519038,0.832391,1.149017,0.226631,-1.888588,6.280131
0.060000,7.234592,3.518802,0.901536,1.155816,0.113315,-1.888588,6.279375
0.060000,7.303797,3.518509,0.970742,1.151046,-0.079494,-3.213496,6.278541
0.060000,7.372512,3.518160,1.039458,1.139478,-0.192810,-1.888588,6.277636
0.060000,7.440328,3.517751,1.107276,1.121110,-0.306125,-1.888588,6.276669
0.060000,7.506838,3.517284,1.173787,1.095944,-0.419440,-1.888588,6.275647
0.060000,7.571634,3.516761,1.238585,1.063978,-0.532756,-1.888588,6.274584
0.060000,7.634307,3.516188,1.301261,1.025214,-0.646071,-1.888588,6.273491
0.060000,7.694450,3.515572,1.361407,0.979651,-0.759386,-1.888588,6.272382
0.060000,7.751654,3.514923,1.418615,0.927289,-0.872702,-1.888588,6.271274
0.060000,7.805513,3.514252,1.472477,0.868128,-0.986017,-1.888588,6.270182
0.060000,7.855617,3.513574,1.522586,0.802168,-1.099332,-1.888588,6.269124
0.060000,7.901702,3.512903,1.568677,0.734179,-1.133153,-0.563681,6.268115
0.060000,7.943708,3.512250,1.610688,0.666190,-1.133153,0.000000,6.267165
0.060000,7.981635,3.511626,1.648619,0.598200,-1.133153,0.000000,6.266284
0.060000,8.015482,3.511040,1.682472,0.530211,-1.133153,-0.000000,6.265477
0.060000,8.045250,3.510502,1.712245,0.462222,-1.133153,0.000000,6.264753
0.060000,8.070939,3.510020,1.737939,0.394233,-1.133153,-0.000000,6.264116
0.060000,8.092550,3.509602,1.759553,0.326244,-1.133153,0.000000,6.263572
0.060000,8.110224,3.509252,1.777231,0.263024,-1.053658,1.324908,6.263122
0.060000,8.124310,3.508966,1.791320,0.206604,-0.940343,1.888588,6.262759
0.060000,8.135216,3.508742,1.802227,0.156982,-0.827028,1.888588,6.262476
0.060000,8.143348,3.508573,1.810361,0.114159,-0.713713,1.888588,6.262264
0.060000,8.149116,3.508452,1.816130,0.078135,-0.600397,1.888588,6.262113
0.060000,8.152926,3.508371,1.819942,0.048911,-0.487082,1.888588,6.262013
0.060000,8.155187,3.508323,1.822204,0.026485,-0.373767,1.888588,6.261953
0.060000,8.156307,3.508299,1.823324,0.010857,-0.260451,1.888588,6.261924
0.060000,8.156694,3.508291,1.823710,0.002029,-0.147136,1.888588,6.261914
0.060000,8.156755,3.508290,1.823771,0.000000,-0.033821,1.888588,6.261912
0.060000,8.156755,3.508290,1.823771,0.000000,0.000000,0.563681,6.261912
