dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,6.334877,3.202036,0.000204,0.006799,0.113315,1.888588,6.283180
0.060000,6.334877,3.202036,0.000205,0.000013,-0.113096,-3.773525,6.283183
0.060000,6.335913,3.202036,0.001240,0.017256,0.287381,6.674625,0.000003
0.060000,6.339179,3.202036,0.004507,0.054443,0.619780,5.539983,0.000013
0.060000,6.344283,3.202036,0.009611,0.085065,0.510371,-1.823483,0.000028
0.060000,6.351633,3.202036,0.016960,0.122490,0.623746,1.889576,0.000048
0.060000,6.361635,3.202037,0.026963,0.166715,0.737084,1.888973,0.000075
0.060000,6.374700,3.202038,0.040027,0.217737,0.850372,1.888133,0.000108
0.060000,6.391233,3.202040,0.056560,0.275553,0.963593,1.887017,0.000145
0.060000,6.411642,3.202044,0.076970,0.340157,1.076728,1.885585,0.000185
0.060000,6.436131,3.202049,0.101458,0.408141,1.133074,0.939087,0.000223
0.060000,6.464697,3.202056,0.130024,0.476100,1.132647,-0.007106,0.000257
0.060000,6.497338,3.202064,0.162666,0.544029,1.132150,-0.008290,0.000278
0.060000,6.534054,3.202075,0.199381,0.611924,1.131581,-0.009474,0.000282
0.060000,6.574841,3.202086,0.240168,0.679780,1.130942,-0.010658,0.000261
0.060000,6.619696,3.202097,0.285024,0.747594,1.130231,-0.011843,0.000207
0.060000,6.668618,3.202105,0.333945,0.815361,1.129450,-0.013027,0.000111
0.060000,6.721399,3.202107,0.386726,0.879681,1.071997,-0.957542,6.283149
0.060000,6.777628,3.202099,0.442956,0.937158,0.957956,-1.900686,6.282943
0.060000,6.836896,3.202077,0.502224,0.987798,0.843990,-1.899434,6.282670
0.060000,6.898792,3.202035,0.564120,1.031605,0.730118,-1.897866,6.282324
0.060000,6.962908,3.201966,0.628235,1.068586,0.616357,-1.896022,6.281900
0.060000,7.028832,3.201865,0.694160,1.098749,0.502720,-1.893941,6.281394
0.060000,7.096159,3.201725,0.761486,1.122103,0.389221,-1.891662,6.280805
0.060000,7.164478,3.201540,0.829805,1.138655,0.275867,-1.889225,6.280131
0.060000,7.233382,3.201304,0.898710,1.148415,0.162667,-1.886669,6.279375
0.060000,7.302322,3.201013,0.967651,1.149017,0.010037,-2.543835,6.278541
0.060000,7.370750,3.200665,1.036080,1.140474,-0.142377,-2.540224,6.277636
0.060000,7.438259,3.200258,1.103590,1.125173,-0.255015,-1.877303,6.276669
0.060000,7.504445,3.199793,1.169778,1.103123,-0.367498,-1.874720,6.275647
0.060000,7.568903,3.199273,1.234238,1.074334,-0.479833,-1.872243,6.274584
0.060000,7.631229,3.198703,1.296566,1.038812,-0.592027,-1.869914,6.273491
0.060000,7.691020,3.198091,1.356360,0.996566,-0.704094,-1.867770,6.272382
0.060000,7.747872,3.197445,1.413217,0.947604,-0.816045,-1.865853,6.271274
0.060000,7.801384,3.196779,1.466732,0.891930,-0.927897,-1.864201,6.270182
0.060000,7.851152,3.196106,1.516505,0.829550,-1.039668,-1.862855,6.269124
0.060000,7.896918,3.195439,1.562275,0.762835,-1.111913,-1.204080,6.268115
0.060000,7.938622,3.194791,1.603985,0.695160,-1.127910,-0.266609,6.267165
0.060000,7.976269,3.194171,1.641637,0.627530,-1.127178,0.012192,6.266284
0.060000,8.009860,3.193590,1.675233,0.559939,-1.126518,0.011005,6.265477
0.060000,8.039398,3.193056,1.704776,0.492383,-1.125929,0.009820,6.264753
0.060000,8.064885,3.192578,1.730268,0.424858,-1.125411,0.008633,6.264116
0.060000,8.086323,3.192163,1.751709,0.357360,-1.124964,0.007449,6.263572
0.060000,8.103855,3.191816,1.769244,0.292251,-1.085164,0.663330,6.263122
0.060000,8.117825,3.191533,1.783218,0.232895,-0.989253,1.598507,6.262759
0.060000,8.128641,3.191310,1.794036,0.180296,-0.876659,1.876577,6.262476
0.060000,8.136706,3.191142,1.802103,0.134448,-0.764137,1.875371,6.262264
0.060000,8.142426,3.191022,1.807823,0.095348,-0.651669,1.874454,6.262113
0.060000,8.146204,3.190942,1.811603,0.062993,-0.539242,1.873783,6.262013
0.060000,8.148447,3.190895,1.813846,0.037382,-0.426843,1.873322,6.261953
0.060000,8.149557,3.190871,1.814957,0.018515,-0.314461,1.873031,6.261924
0.060000,8.149941,3.190863,1.815340,0.006389,-0.202089,1.872870,6.261914
0.060000,8.150001,3.190862,1.815401,0.001006,-0.089721,1.872797,6.261912
0.060000,8.150001,3.190862,1.815401,0.000000,-0.016769,1.215871,6.261912
