dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,7.209470,6.522221,0.000203,0.006752,0.112536,1.875597,1.570916
0.060000,7.209470,6.522248,0.000230,0.000454,-0.104977,-3.625219,1.570831
0.060000,7.209470,6.523806,0.001788,0.025976,0.425381,8.839302,1.570638
0.060000,7.209471,6.527155,0.005137,0.055817,0.497352,1.199523,1.570298
0.060000,7.209475,6.532387,0.010369,0.087192,0.522902,0.425838,1.569771
0.060000,7.209486,6.539917,0.017899,0.125506,0.638577,1.927915,1.569021
0.060000,7.209509,6.550161,0.028143,0.170734,0.753791,1.920231,1.568018
0.060000,7.209555,6.563531,0.041513,0.222836,0.868363,1.909525,1.566740
0.060000,7.209636,6.580228,0.058210,0.278284,0.924135,0.929538,1.565191
0.060000,7.209766,6.600241,0.078224,0.333558,0.921236,-0.048318,1.563404
0.060000,7.209962,6.623558,0.101541,0.388623,0.917756,-0.058001,1.561419
0.060000,7.210240,6.650163,0.128148,0.443445,0.913695,-0.067682,1.559282
0.060000,7.210618,6.680040,0.158027,0.497988,0.909053,-0.077360,1.557046
0.060000,7.211112,6.713169,0.191160,0.552218,0.903832,-0.087025,1.554770
0.060000,7.211736,6.749530,0.227526,0.606100,0.898031,-0.096678,1.552519
0.060000,7.212503,6.789098,0.267102,0.659599,0.891653,-0.106309,1.550366
0.060000,7.213420,6.831849,0.309863,0.712681,0.884697,-0.115926,1.548390
0.060000,7.214485,6.877551,0.355577,0.761899,0.820306,-1.073177,1.546682
0.060000,7.215682,6.925768,0.403809,0.803862,0.699379,-2.015455,1.545339
0.060000,7.216988,6.976069,0.454127,0.838629,0.579454,-1.998760,1.544443
0.060000,7.218370,7.028027,0.506103,0.866272,0.460708,-1.979088,1.544066
0.060000,7.219789,7.081220,0.559315,0.886869,0.343292,-1.956943,1.544262
0.060000,7.221204,7.135232,0.613346,0.900508,0.227322,-1.932823,1.545071
0.060000,7.222568,7.189652,0.667782,0.907282,0.112890,-1.907204,1.546514
0.060000,7.223833,7.243938,0.722084,0.905018,-0.037727,-2.510288,1.548588
0.060000,7.224955,7.297557,0.775714,0.893849,-0.186157,-2.473836,1.551266
0.060000,7.225899,7.350118,0.828284,0.876154,-0.294907,-1.812489,1.554505
0.060000,7.226638,7.401234,0.879405,0.852029,-0.402084,-1.786286,1.558244
0.060000,7.227157,7.450525,0.928699,0.821563,-0.507766,-1.761374,1.562406
0.060000,7.227448,7.497615,0.975790,0.784840,-0.612064,-1.738290,1.566897
0.060000,7.227519,7.542131,1.020306,0.741932,-0.715119,-1.717590,1.571609
0.060000,7.227386,7.583705,1.061880,0.692906,-0.817109,-1.699828,1.576423
0.060000,7.227079,7.622105,1.100281,0.640019,-0.881444,-1.072247,1.581228
0.060000,7.226630,7.657293,1.135472,0.586522,-0.891621,-0.169616,1.585934
0.060000,7.226074,7.689294,1.167478,0.533419,-0.885044,0.109607,1.590467
0.060000,7.225445,7.718127,1.196318,0.480676,-0.879061,0.099720,1.594760
0.060000,7.224778,7.743814,1.222013,0.428255,-0.873672,0.089814,1.598751
0.060000,7.224107,7.766371,1.244581,0.376123,-0.868877,0.079925,1.602386
0.060000,7.223461,7.785815,1.264035,0.324242,-0.864673,0.070056,1.605617
0.060000,7.222869,7.802159,1.280390,0.272579,-0.861056,0.060280,1.608403
0.060000,7.222355,7.815415,1.293656,0.221098,-0.858024,0.050545,1.610710
0.060000,7.221934,7.825723,1.303972,0.171939,-0.819305,0.645306,1.612534
0.060000,7.221607,7.833412,1.311668,0.128259,-0.728008,1.521621,1.613910
0.060000,7.221369,7.838869,1.317130,0.091036,-0.620381,1.793778,1.614896
0.060000,7.221209,7.842479,1.320744,0.060240,-0.513259,1.785376,1.615552
0.060000,7.221112,7.844628,1.322896,0.035851,-0.406486,1.779554,1.615944
0.060000,7.221064,7.845699,1.323967,0.017855,-0.299931,1.775906,1.616140
0.060000,7.221047,7.846073,1.324342,0.006246,-0.193499,1.773872,1.616208
0.060000,7.221044,7.846134,1.324403,0.001018,-0.087122,1.772945,1.616220
0.060000,7.221044,7.846134,1.324403,0.000000,-0.016970,1.169202,1.616220
