dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,7.526970,6.522259,0.000203,0.006752,0.112536,1.875597,1.570916
0.060000,7.526970,6.522259,0.001013,0.020256,0.225072,1.875597,1.570831
0.060000,7.526970,6.523756,0.002836,0.040513,0.337607,1.875597,1.570638
0.060000,7.526971,6.526997,0.006077,0.067521,0.450143,1.875597,1.570298
0.060000,7.526975,6.532061,0.011141,0.101282,0.562679,1.875597,1.569771
0.060000,7.526986,6.539354,0.018433,0.141795,0.675215,1.875597,1.569021
0.060000,7.527008,6.549279,0.028359,0.189060,0.787751,1.875597,1.568018
0.060000,7.527052,6.562243,0.041323,0.243077,0.900287,1.875597,1.566740
0.060000,7.527131,6.578448,0.057528,0.297095,0.900287,0.000000,1.565191
0.060000,7.527257,6.597894,0.076975,0.351112,0.900287,-0.000000,1.563404
0.060000,7.527448,6.620581,0.099662,0.405129,0.900287,0.000000,1.561419
0.060000,7.527719,6.646507,0.125590,0.459146,0.900287,0.000000,1.559282
0.060000,7.528088,6.675674,0.154759,0.513163,0.900287,0.000000,1.557046
0.060000,7.528571,6.708081,0.187170,0.567181,0.900287,0.000000,1.554770
0.060000,7.529183,6.743727,0.222821,0.621198,0.900287,0.000000,1.552519
0.060000,7.529937,6.782612,0.261713,0.675215,0.900287,0.000000,1.550366
0.060000,7.530841,6.824736,0.303847,0.729232,0.900287,-0.000000,1.548390
0.060000,7.531893,6.869896,0.349019,0.776497,0.787751,-1.875597,1.546682
0.060000,7.533079,6.917686,0.396824,0.817010,0.675215,-1.875597,1.545339
0.060000,7.534378,6.967703,0.446857,0.850771,0.562679,-1.875597,1.544443
0.060000,7.535756,7.019541,0.498714,0.877779,0.450143,-1.875597,1.544066
0.060000,7.537177,7.072796,0.551988,0.898036,0.337607,-1.875597,1.544262
0.060000,7.538599,7.127065,0.606276,0.911540,0.225072,-1.875597,1.545071
0.060000,7.539974,7.181943,0.661170,0.918292,0.112536,-1.875597,1.546514
0.060000,7.541254,7.236887,0.716130,0.913695,-0.076625,-3.152686,1.548588
0.060000,7.542394,7.291357,0.770611,0.902345,-0.189161,-1.875597,1.551266
0.060000,7.543357,7.344946,0.824209,0.884243,-0.301697,-1.875597,1.554505
0.060000,7.544113,7.397249,0.876518,0.859389,-0.414233,-1.875597,1.558244
0.060000,7.544646,7.447861,0.927133,0.827783,-0.526769,-1.875597,1.562406
0.060000,7.544946,7.496377,0.975649,0.789425,-0.639304,-1.875597,1.566897
0.060000,7.545019,7.542389,1.021662,0.744315,-0.751840,-1.875597,1.571609
0.060000,7.544881,7.585492,1.064765,0.692452,-0.864376,-1.875597,1.576423
0.060000,7.544562,7.625417,1.104691,0.638435,-0.900287,-0.598509,1.581228
0.060000,7.544094,7.662099,1.141377,0.584418,-0.900287,0.000000,1.585934
0.060000,7.543512,7.695539,1.174821,0.530400,-0.900287,-0.000000,1.590467
0.060000,7.542854,7.725735,1.205025,0.476383,-0.900287,-0.000000,1.594760
0.060000,7.542154,7.752689,1.231987,0.422366,-0.900287,0.000000,1.598751
0.060000,7.541448,7.776399,1.255709,0.368349,-0.900287,0.000000,1.602386
0.060000,7.540768,7.796869,1.276189,0.314332,-0.900287,0.000000,1.605617
0.060000,7.540144,7.814097,1.293429,0.260314,-0.900287,0.000000,1.608403
0.060000,7.539602,7.828084,1.307427,0.206297,-0.900287,-0.000000,1.610710
0.060000,7.539157,7.838971,1.318322,0.156878,-0.823661,1.277089,1.612534
0.060000,7.538812,7.847096,1.326455,0.114210,-0.711125,1.875597,1.613910
0.060000,7.538561,7.852866,1.332230,0.078295,-0.598590,1.875597,1.614896
0.060000,7.538391,7.856685,1.336053,0.049131,-0.486054,1.875597,1.615552
0.060000,7.538289,7.858958,1.338328,0.026720,-0.373518,1.875597,1.615944
0.060000,7.538237,7.860090,1.339462,0.011061,-0.260982,1.875597,1.616140
0.060000,7.538219,7.860486,1.339858,0.002155,-0.148446,1.875597,1.616208
0.060000,7.538216,7.860551,1.339923,0.000000,-0.035911,1.875597,1.616220
0.060000,7.538216,7.860551,1.339923,0.000000,0.000000,0.598509,1.616220
