dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,7.844470,6.522297,0.000203,0.006752,0.112536,1.875597,1.570916
0.060000,7.844470,6.522270,0.000230,0.000454,-0.104977,-3.625219,1.570831
0.060000,7.844470,6.523706,0.001666,0.023941,0.391456,8.273883,1.570638
0.060000,7.844471,6.526839,0.004799,0.052217,0.471268,1.330198,1.570298
0.060000,7.844475,6.531736,0.009696,0.081612,0.489920,0.310871,1.569771
0.060000,7.844485,6.538790,0.016750,0.117571,0.599317,1.823280,1.569021
0.060000,7.844507,6.548397,0.026358,0.160122,0.709174,1.830962,1.568018
0.060000,7.844550,6.560955,0.038916,0.209302,0.819674,1.841667,1.566740
0.060000,7.844626,6.576669,0.054629,0.261888,0.876438,0.946056,1.565191
0.060000,7.844749,6.595547,0.073508,0.314649,0.879337,0.048317,1.563404
0.060000,7.844934,6.617603,0.095565,0.367618,0.882817,0.057998,1.561419
0.060000,7.845198,6.642852,0.120815,0.420830,0.886878,0.067682,1.559282
0.060000,7.845558,6.671309,0.149274,0.474321,0.891519,0.077360,1.557046
0.060000,7.846030,6.702993,0.180962,0.528126,0.896741,0.087029,1.554770
0.060000,7.846630,6.737924,0.215898,0.582278,0.902542,0.096680,1.552519
0.060000,7.847371,6.776126,0.254107,0.636814,0.908921,0.106316,1.550366
0.060000,7.848261,6.817622,0.295613,0.691766,0.915877,0.115933,1.548390
0.060000,7.849300,6.862240,0.340243,0.743830,0.867732,-0.802417,1.546682
0.060000,7.850477,6.909604,0.387622,0.789645,0.763588,-1.735732,1.545339
0.060000,7.851767,6.959337,0.437371,0.829152,0.658442,-1.752434,1.544443
0.060000,7.853143,7.011055,0.489107,0.862279,0.552115,-1.772113,1.544066
0.060000,7.854566,7.064373,0.542444,0.888946,0.444459,-1.794261,1.544262
0.060000,7.855994,7.118898,0.596988,0.909068,0.335356,-1.818387,1.545071
0.060000,7.857380,7.174234,0.652341,0.922551,0.224716,-1.844007,1.546514
0.060000,7.858676,7.229837,0.707959,0.926969,0.073635,-2.518011,1.548588
0.060000,7.859833,7.285156,0.763291,0.922191,-0.079633,-2.554459,1.551266
0.060000,7.860814,7.339773,0.817917,0.910433,-0.195955,-1.938714,1.554505
0.060000,7.861588,7.393264,0.871413,0.891602,-0.313850,-1.964906,1.558244
0.060000,7.862135,7.445197,0.923349,0.865608,-0.433239,-1.989811,1.562406
0.060000,7.862443,7.495139,0.973291,0.832367,-0.554012,-2.012887,1.566897
0.060000,7.862518,7.542647,1.020800,0.791806,-0.676027,-2.033584,1.571609
0.060000,7.862376,7.587278,1.065431,0.743859,-0.799107,-2.051340,1.576423
0.060000,7.862044,7.628729,1.106883,0.690866,-0.883217,-1.401837,1.581228
0.060000,7.861557,7.666905,1.145063,0.636329,-0.908950,-0.428880,1.585934
0.060000,7.860951,7.701784,1.179947,0.581398,-0.915526,-0.109603,1.590467
0.060000,7.860263,7.733343,1.211513,0.526107,-0.921509,-0.099717,1.594760
0.060000,7.859530,7.761563,1.239743,0.470493,-0.926898,-0.089816,1.598751
0.060000,7.858790,7.786428,1.264618,0.414592,-0.931694,-0.079920,1.602386
0.060000,7.858076,7.807922,1.286125,0.358438,-0.935899,-0.070083,1.605617
0.060000,7.857420,7.826034,1.304249,0.302067,-0.939515,-0.060267,1.608403
0.060000,7.856849,7.840754,1.318980,0.245514,-0.942548,-0.050562,1.610710
0.060000,7.856381,7.852218,1.330454,0.191235,-0.904641,0.631779,1.612534
0.060000,7.856017,7.860780,1.339023,0.142829,-0.806778,1.631052,1.613910
0.060000,7.855752,7.866863,1.345111,0.101469,-0.689334,1.957399,1.614896
0.060000,7.855573,7.870890,1.349143,0.067186,-0.571384,1.965849,1.615552
0.060000,7.855465,7.873287,1.351543,0.040000,-0.453087,1.971610,1.615944
0.060000,7.855411,7.874482,1.352738,0.019926,-0.334569,1.975298,1.616140
0.060000,7.855392,7.874900,1.353156,0.006971,-0.215928,1.977343,1.616208
0.060000,7.855389,7.874968,1.353225,0.001136,-0.097235,1.978220,1.616220
0.060000,7.855389,7.874968,1.353225,0.000000,-0.018941,1.304910,1.616220
