dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,7.729923,7.591901,0.000200,0.006669,0.111150,1.852492,3.703687
0.060000,7.730193,7.592071,0.000519,0.005311,-0.022636,-2.229752,3.704690
0.060000,7.730798,7.592454,0.001235,0.011932,0.110354,2.216491,3.706945
0.060000,7.729257,7.591472,0.003062,0.030451,0.308655,3.305017,3.710943
0.060000,7.726712,7.589831,0.006090,0.050471,0.333666,0.416846,3.717158
0.060000,7.723047,7.587430,0.010472,0.073026,0.375915,0.704157,3.726043
0.060000,7.718059,7.584087,0.016476,0.100071,0.450749,1.247226,3.738008
0.060000,7.711545,7.579591,0.024390,0.131911,0.530662,1.331890,3.753409
0.060000,7.703303,7.573689,0.034529,0.168968,0.617624,1.449374,3.772518
0.060000,7.693127,7.566073,0.047238,0.211823,0.714246,1.610355,3.795502
0.060000,7.680818,7.556372,0.062911,0.261213,0.823171,1.815416,3.822384
0.060000,7.666178,7.544132,0.081994,0.318047,0.947228,2.067624,3.853018
0.060000,7.649017,7.528815,0.104996,0.383374,1.088789,2.359354,3.887060
0.060000,7.629166,7.509787,0.132494,0.458306,1.248862,2.667870,3.923953
0.060000,7.606481,7.486324,0.165130,0.543930,1.427069,2.970116,3.962938
0.060000,7.580858,7.457629,0.203600,0.641165,1.620578,3.225160,4.003080
0.060000,7.552335,7.422977,0.248481,0.748022,1.780959,2.673024,4.043191
0.060000,7.521175,7.381926,0.300019,0.858960,1.848967,1.133451,4.081873
0.060000,7.487742,7.334286,0.358220,0.970008,1.850796,0.030484,4.117843
0.060000,7.452363,7.280025,0.422995,1.079598,1.826503,-0.404870,4.150118
0.060000,7.415296,7.219260,0.494174,1.186306,1.778460,-0.800726,4.177982
0.060000,7.376707,7.152231,0.571517,1.289060,1.712563,-1.098277,4.200924
0.060000,7.336652,7.079273,0.654748,1.387168,1.635146,-1.290288,4.218561
0.060000,7.295064,7.000790,0.743568,1.480341,1.552868,-1.371298,4.230564
0.060000,7.251746,6.917231,0.837689,1.568682,1.472354,-1.341894,4.236587
0.060000,7.206357,6.829070,0.936847,1.652642,1.399329,-1.217083,4.236196
0.060000,7.158405,6.736805,1.040829,1.733034,1.339875,-0.990915,4.228803
0.060000,7.107212,6.640956,1.149493,1.811060,1.300436,-0.657313,4.213595
0.060000,7.051887,6.542082,1.262793,1.888328,1.287791,-0.210752,4.189450
0.060000,6.991271,6.440823,1.380808,1.966927,1.309991,0.370011,4.154854
0.060000,6.923879,6.337979,1.503766,2.049295,1.372799,1.046789,4.107825
0.060000,6.847884,6.234703,1.631990,2.137059,1.462727,1.498797,4.045936
0.060000,6.761305,6.132909,1.765622,2.227213,1.502571,0.664080,3.966690
0.060000,6.662177,6.035399,1.904672,2.317487,1.504572,0.033340,3.868154
0.060000,6.549110,5.946044,2.048784,2.401883,1.406591,-1.633007,3.750157
0.060000,6.422654,5.869815,2.196439,2.460914,0.983851,-7.045674,3.616237
0.060000,6.286356,5.811531,2.344676,2.470612,0.161636,-13.703575,3.474494
0.060000,6.146311,5.773795,2.489716,2.417335,-0.887956,-17.493201,3.335641
0.060000,6.008949,5.755839,2.628247,2.308841,-1.808220,-15.337735,3.208898
0.060000,5.878891,5.754334,2.758313,2.167777,-2.351080,-9.047678,3.099173
0.060000,5.758415,5.765115,2.879271,2.015959,-2.530288,-2.986789,3.007229
0.060000,5.648127,5.784389,2.991230,1.865994,-2.499426,0.514365,2.931426
0.060000,5.547793,5.809139,3.094572,1.722366,-2.393790,1.760606,2.869286
0.060000,5.456886,5.837085,3.189677,1.585081,-2.288088,1.761688,2.818349
0.060000,5.374875,5.866514,3.276809,1.452198,-2.214710,1.222965,2.776510
0.060000,5.301316,5.896114,3.356100,1.321515,-2.178055,0.610927,2.742082
0.060000,5.235881,5.924857,3.427569,1.191156,-2.172656,0.089988,2.713749
0.060000,5.178316,5.951931,3.491183,1.060234,-2.182023,-0.156129,2.690488
0.060000,5.128226,5.976794,3.547105,0.932025,-2.136824,0.753315,2.671435
0.060000,5.084973,5.999204,3.595818,0.811886,-2.002321,2.241729,2.655821
0.060000,5.047865,6.019103,3.637925,0.701781,-1.835080,2.787339,2.643013
0.060000,5.016289,6.036512,3.673982,0.600959,-1.680374,2.578440,2.632521
0.060000,4.989695,6.051505,3.704512,0.508825,-1.535564,2.413500,2.623964
0.060000,4.967582,6.064199,3.730008,0.424941,-1.398064,2.291657,2.617037
0.060000,4.949486,6.074737,3.750950,0.349021,-1.265334,2.212180,2.611491
0.060000,4.934962,6.083292,3.767805,0.280929,-1.134864,2.174498,2.607119
0.060000,4.923594,6.090047,3.781030,0.220411,-1.008637,2.103784,2.603744
0.060000,4.914976,6.095203,3.791072,0.167368,-0.884055,2.076364,2.601214
0.060000,4.908716,6.098966,3.798376,0.121725,-0.760705,2.055834,2.599390
0.060000,4.904430,6.101552,3.803382,0.083438,-0.638116,2.043152,2.598149
0.060000,4.901741,6.103178,3.806524,0.052374,-0.517743,2.006215,2.597373
0.060000,4.900270,6.104068,3.808243,0.028652,-0.395359,2.039728,2.596950
0.060000,4.899648,6.104445,3.808971,0.012129,-0.275389,1.999501,2.596771
0.060000,4.899502,6.104533,3.809141,0.002836,-0.154877,2.008530,2.596729
0.060000,4.899502,6.104533,3.809141,0.000000,-0.047270,1.793449,2.596729
