dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,7.560709,7.860551,0.000200,0.006669,0.111150,1.852492,3.703687
0.060000,7.560709,7.860551,0.001000,0.020007,0.222299,1.852492,3.704690
0.060000,7.560709,7.860551,0.002801,0.040014,0.333449,1.852492,3.706945
0.060000,7.558098,7.858887,0.006002,0.066690,0.444598,1.852492,3.710943
0.060000,7.553893,7.856177,0.011004,0.100035,0.555748,1.852492,3.717158
0.060000,7.547869,7.852230,0.018206,0.140048,0.666897,1.852492,3.726043
0.060000,7.539725,7.846772,0.028010,0.186731,0.778047,1.852492,3.738008
0.060000,7.529188,7.839499,0.040814,0.240083,0.889196,1.852492,3.753409
0.060000,7.516012,7.830064,0.057020,0.300104,1.000346,1.852492,3.772518
0.060000,7.499994,7.818077,0.077027,0.366793,1.111495,1.852492,3.795502
0.060000,7.480981,7.803093,0.101235,0.440152,1.222645,1.852492,3.822384
0.060000,7.458877,7.784617,0.130045,0.520180,1.333794,1.852492,3.853018
0.060000,7.433652,7.762105,0.163857,0.606876,1.444944,1.852492,3.887060
0.060000,7.405342,7.734974,0.203070,0.700242,1.556093,1.852492,3.923953
0.060000,7.374051,7.702616,0.248086,0.800277,1.667243,1.852492,3.962938
0.060000,7.339935,7.664419,0.299303,0.906980,1.778393,1.852492,4.003080
0.060000,7.303313,7.619940,0.356923,1.013684,1.778393,0.000000,4.043191
0.060000,7.264723,7.569112,0.420745,1.113718,1.667243,-1.852492,4.081873
0.060000,7.224725,7.512128,0.490370,1.207084,1.556093,-1.852492,4.117843
0.060000,7.183743,7.449287,0.565395,1.293781,1.444944,-1.852492,4.150118
0.060000,7.142065,7.380972,0.645423,1.373808,1.333794,-1.852492,4.177982
0.060000,7.099838,7.307633,0.730052,1.447167,1.222645,-1.852492,4.200924
0.060000,7.057086,7.229768,0.818883,1.513857,1.111495,-1.852492,4.218561
0.060000,7.013711,7.147919,0.911515,1.573877,1.000346,-1.852492,4.230564
0.060000,6.969512,7.062662,1.007548,1.627229,0.889196,-1.852492,4.236587
0.060000,6.924180,6.974611,1.106583,1.673912,0.778047,-1.852492,4.236196
0.060000,6.877312,6.884429,1.208218,1.713926,0.666897,-1.852492,4.228803
0.060000,6.828396,6.792837,1.312054,1.747271,0.555748,-1.852492,4.213595
0.060000,6.776819,6.700650,1.417690,1.773947,0.444598,-1.852492,4.189450
0.060000,6.721853,6.608811,1.524727,1.793953,0.333449,-1.852492,4.154854
0.060000,6.662656,6.518447,1.632764,1.807291,0.222299,-1.852492,4.107825
0.060000,6.598323,6.430982,1.741359,1.812513,0.087030,-2.254477,4.045936
0.060000,6.528065,6.348328,1.849866,1.804397,-0.135269,-3.704984,3.966690
0.060000,6.451260,6.272719,1.957686,1.789612,-0.246418,-1.852492,3.868154
0.060000,6.367598,6.206543,2.064419,1.768158,-0.357568,-1.852492,3.750157
0.060000,6.277550,6.152217,2.169665,1.740035,-0.468717,-1.852492,3.616237
0.060000,6.182601,6.111599,2.273023,1.705243,-0.579867,-1.852492,3.474494
0.060000,6.085087,6.085336,2.374094,1.663782,-0.691016,-1.852492,3.335641
0.060000,5.987596,6.072620,2.472477,1.615652,-0.802166,-1.852492,3.208898
0.060000,5.892355,6.071548,2.567772,1.560853,-0.913315,-1.852492,3.099173
0.060000,5.800947,6.079753,2.659579,1.499385,-1.024465,-1.852492,3.007229
0.060000,5.714365,6.094902,2.747498,1.431248,-1.135614,-1.852492,2.931426
0.060000,5.633185,6.114940,2.831129,1.356443,-1.246764,-1.852492,2.869286
0.060000,5.557738,6.138142,2.910072,1.274968,-1.357913,-1.852492,2.818349
0.060000,5.488231,6.163089,2.983925,1.186824,-1.469063,-1.852492,2.776510
0.060000,5.424813,6.188612,3.052290,1.092011,-1.580213,-1.852492,2.742082
0.060000,5.367615,6.213738,3.114767,0.990529,-1.691362,-1.852492,2.713749
0.060000,5.316733,6.237670,3.170997,0.883826,-1.778393,-1.450508,2.690488
0.060000,5.272061,6.259844,3.220869,0.778569,-1.754273,0.401984,2.671435
0.060000,5.233211,6.279974,3.264626,0.679982,-1.643124,1.852492,2.655821
0.060000,5.199687,6.297951,3.302667,0.588064,-1.531974,1.852492,2.643013
0.060000,5.171028,6.313752,3.335393,0.502814,-1.420825,1.852492,2.632521
0.060000,5.146800,6.327411,3.363205,0.424234,-1.309675,1.852492,2.623964
0.060000,5.126596,6.339010,3.386501,0.352322,-1.198526,1.852492,2.617037
0.060000,5.110021,6.348662,3.405683,0.287079,-1.087376,1.852492,2.611491
0.060000,5.096693,6.356512,3.421151,0.228506,-0.976227,1.852492,2.607119
0.060000,5.086245,6.362720,3.433304,0.176601,-0.865077,1.852492,2.603744
0.060000,5.078317,6.367463,3.442543,0.131366,-0.753928,1.852492,2.601214
0.060000,5.072554,6.370928,3.449268,0.092799,-0.642778,1.852492,2.599390
0.060000,5.068605,6.373310,3.453879,0.060901,-0.531629,1.852492,2.598149
0.060000,5.066127,6.374809,3.456776,0.035672,-0.420479,1.852492,2.597373
0.060000,5.064771,6.375630,3.458360,0.017113,-0.309330,1.852492,2.596950
0.060000,5.064197,6.375977,3.459030,0.005222,-0.198180,1.852492,2.596771
0.060000,5.064063,6.376059,3.459187,0.000000,-0.087030,1.852492,2.596729
0.060000,5.064063,6.376059,3.459187,0.000000,0.000000,1.450508,2.596729
