dt,x,y,position,velocity,acceleration,jerk,heading
0.060000,7.391494,8.129201,0.000200,0.006669,0.111150,1.852492,3.703687
0.060000,7.391225,8.129031,0.000519,0.005311,-0.022636,-2.229752,3.704690
0.060000,7.390620,8.128648,0.001235,0.011932,0.110354,2.216491,3.706945
0.060000,7.386938,8.126302,0.005600,0.072755,1.013714,15.056007,3.710943
0.060000,7.381075,8.122523,0.012575,0.116252,0.724948,-4.812776,3.717158
0.060000,7.372691,8.117030,0.022598,0.167055,0.846724,2.029610,3.726043
0.060000,7.361392,8.109457,0.036201,0.226705,0.994171,2.457440,3.738008
0.060000,7.346830,8.099406,0.053895,0.294901,1.136587,2.373607,3.753409
0.060000,7.328721,8.086440,0.076167,0.371206,1.271760,2.252886,3.772518
0.060000,7.306861,8.070081,0.103471,0.455058,1.397528,2.096125,3.795502
0.060000,7.281144,8.049814,0.136213,0.545707,1.510823,1.888251,3.822384
0.060000,7.251577,8.025102,0.174748,0.642245,1.608959,1.635598,3.853018
0.060000,7.218287,7.995395,0.219366,0.743631,1.689773,1.346911,3.887060
0.060000,7.181519,7.960161,0.270290,0.848738,1.751774,1.033348,3.923953
0.060000,7.141621,7.918909,0.327680,0.956494,1.795945,0.736174,3.962938
0.060000,7.099013,7.871210,0.391638,1.065973,1.824637,0.478209,4.003080
0.060000,7.054292,7.816904,0.461988,1.172508,1.775586,-0.817515,4.043191
0.060000,7.008271,7.756297,0.538087,1.268315,1.596779,-2.980129,4.081873
0.060000,6.961707,7.689970,0.619127,1.350666,1.372531,-3.737466,4.117843
0.060000,6.915124,7.618549,0.704397,1.421163,1.174942,-3.293140,4.150118
0.060000,6.868834,7.542685,0.793269,1.481194,1.000520,-2.907045,4.177982
0.060000,6.822969,7.463035,0.885180,1.531855,0.844346,-2.602887,4.200924
0.060000,6.777519,7.380263,0.979609,1.573823,0.699470,-2.414607,4.218561
0.060000,6.732358,7.295047,1.076052,1.607374,0.559186,-2.338059,4.230564
0.060000,6.687278,7.208093,1.173997,1.632423,0.417471,-2.361927,4.236587
0.060000,6.642004,7.120153,1.272907,1.648502,0.267999,-2.491194,4.236196
0.060000,6.596218,7.032052,1.372195,1.654797,0.104904,-2.718255,4.228803
0.060000,6.549580,6.944718,1.471202,1.650109,-0.078128,-3.050526,4.213595
0.060000,6.501752,6.859219,1.569170,1.632802,-0.288459,-3.505518,4.189450
0.060000,6.452434,6.776799,1.665218,1.600803,-0.533304,-4.080759,4.154854
0.060000,6.401433,6.698915,1.758315,1.551614,-0.819823,-4.775304,4.107825
0.060000,6.348761,6.627261,1.847245,1.482174,-1.157331,-5.625140,4.045936
0.060000,6.294825,6.563747,1.930570,1.388751,-1.557055,-6.662068,3.966690
0.060000,6.240344,6.510039,2.007074,1.275064,-1.894772,-5.628619,3.868154
0.060000,6.186086,6.467042,2.076303,1.153814,-2.020835,-2.101054,3.750157
0.060000,6.132445,6.434619,2.138982,1.044646,-1.819469,3.356106,3.616237
0.060000,6.078847,6.411668,2.197288,0.971763,-1.214727,10.079035,3.474494
0.060000,6.023862,6.396877,2.254226,0.948982,-0.379672,13.917578,3.335641
0.060000,5.966242,6.389401,2.312329,0.968380,0.323304,11.716266,3.208898
0.060000,5.905819,6.388762,2.372756,1.007104,0.645393,5.368163,3.099173
0.060000,5.843480,6.394391,2.435349,1.043220,0.601926,-0.724455,3.007229
0.060000,5.780603,6.405416,2.499185,1.063940,0.345346,-4.276344,2.931426
0.060000,5.718578,6.420741,2.563075,1.064826,0.014761,-5.509742,2.869286
0.060000,5.658590,6.439199,2.625838,1.046055,-0.312855,-5.460260,2.818349
0.060000,5.601587,6.459664,2.686404,1.009441,-0.610235,-4.956339,2.776510
0.060000,5.548310,6.481109,2.743835,0.957171,-0.871168,-4.348884,2.742082
0.060000,5.499349,6.502620,2.797313,0.891306,-1.097734,-3.776107,2.713749
0.060000,5.455150,6.523409,2.846157,0.814062,-1.287410,-3.161265,2.690488
0.060000,5.415897,6.542894,2.889980,0.730386,-1.394606,-1.786591,2.671435
0.060000,5.381449,6.560744,2.928778,0.646639,-1.395769,-0.019390,2.655821
0.060000,5.351509,6.576800,2.962751,0.566221,-1.340306,0.924386,2.643013
0.060000,5.325767,6.590992,2.992147,0.489920,-1.271691,1.143588,2.632521
0.060000,5.303906,6.603317,3.017242,0.418263,-1.194281,1.290163,2.623964
0.060000,5.285609,6.613821,3.038340,0.351630,-1.110547,1.395557,2.617037
0.060000,5.270555,6.622587,3.055760,0.290330,-1.021662,1.481423,2.611491
0.060000,5.258424,6.629732,3.069839,0.234656,-0.927903,1.562658,2.607119
0.060000,5.248897,6.635393,3.080921,0.184695,-0.832676,1.587107,2.603744
0.060000,5.241659,6.639724,3.089356,0.140587,-0.735143,1.625552,2.601214
0.060000,5.236391,6.642890,3.095502,0.102429,-0.635960,1.653056,2.599390
0.060000,5.232780,6.645069,3.099720,0.070299,-0.535506,1.674230,2.598149
0.060000,5.230512,6.646440,3.102370,0.044162,-0.435611,1.664908,2.597373
0.060000,5.229272,6.647191,3.103820,0.024172,-0.333177,1.707238,2.596950
0.060000,5.228747,6.647510,3.104434,0.010235,-0.232283,1.681573,2.596771
0.060000,5.228624,6.647584,3.104578,0.002393,-0.130686,1.693280,2.596729
0.060000,5.228624,6.647584,3.104578,0.000000,-0.039891,1.513242,2.596729
